zdbId	source
124143-6	ALEPH
124240-4	ALEPH
124255-6	ALEPH
124263-5	ALEPH
124278-7	ALEPH
124339-1	ALEPH
124525-9	ALEPH
125373-6	ALEPH
1254248-9	ALEPH
1255836-9	ALEPH
1256224-5	ALEPH
1257120-9	ALEPH
125896-5	ALEPH
1261408-7	ALEPH
1272-5	ALEPH
127272-X	ALEPH
127412-0	ALEPH
127887-3	ALEPH
1279618-9	ALEPH
1281078-2	ALEPH
1281139-7	ALEPH
1282340-5	ALEPH
1282437-9	ALEPH
1284442-1	ALEPH
1284452-4	ALEPH
1284484-6	ALEPH
1284613-2	ALEPH
1285392-6	ALEPH
1285394-X	ALEPH
1286138-8	ALEPH
1286731-7	ALEPH
1288088-7	ALEPH
128998-6	ALEPH
1293520-7	ALEPH
1294-4	ALEPH
1295085-3	ALEPH
1302147-3	ALEPH
1302621-5	ALEPH
130269-3	ALEPH
1302737-2	ALEPH
1305724-8	ALEPH
1305842-3	ALEPH
1306368-6	ALEPH
1306370-4	ALEPH
1306379-0	ALEPH
1306721-7	ALEPH
1306957-3	ALEPH
130946-8	ALEPH
1310780-X	ALEPH
1311533-9	ALEPH
131312-5	ALEPH
1313834-0	ALEPH
1314835-7	ALEPH
1318031-9	ALEPH
131981-4	ALEPH
132017-8	ALEPH
132251-5	ALEPH
1322651-4	ALEPH
132315-5	ALEPH
132617-X	ALEPH
132802-5	ALEPH
132893-1	ALEPH
132894-3	ALEPH
1329416-7	ALEPH
132991-1	ALEPH
1329923-2	ALEPH
1331422-1	ALEPH
1331831-7	ALEPH
1331965-6	ALEPH
1332470-6	ALEPH
1334228-9	ALEPH
1334251-4	ALEPH
1334479-1	ALEPH
1334530-8	ALEPH
133473-6	ALEPH
1335293-3	ALEPH
1335305-6	ALEPH
1336479-0	ALEPH
1337661-5	ALEPH
133825-0	ALEPH
1339954-8	ALEPH
1340191-9	ALEPH
1341086-6	ALEPH
134170-4	ALEPH
1341814-2	ALEPH
1342101-3	ALEPH
1342699-0	ALEPH
1347233-1	ALEPH
1349535-5	ALEPH
135049-3	ALEPH
13513-6	ALEPH
1357838-8	ALEPH
1358760-2	ALEPH
1360821-6	ALEPH
1361769-2	ALEPH
1362224-9	ALEPH
1362230-4	ALEPH
1362236-5	ALEPH
1362307-2	ALEPH
136452-2	ALEPH
1367-5	ALEPH
1367434-1	ALEPH
1368-7	ALEPH
1371-7	ALEPH
1375163-3	ALEPH
1375164-5	ALEPH
137544-1	ALEPH
137821-1	ALEPH
137828-4	ALEPH
1378639-8	ALEPH
1378654-4	ALEPH
1378661-1	ALEPH
1378662-3	ALEPH
1378681-7	ALEPH
1379228-3	ALEPH
1379239-8	ALEPH
1379651-3	ALEPH
1382-1	ALEPH
1383599-3	ALEPH
1383957-3	ALEPH
138474-0	ALEPH
138594-X	ALEPH
1386103-7	ALEPH
1386718-0	ALEPH
1387770-7	ALEPH
139117-3	ALEPH
1394616-X	ALEPH
1395422-2	ALEPH
1395706-5	ALEPH
1395874-4	ALEPH
139822-2	ALEPH
1398490-1	ALEPH
1399770-1	ALEPH
1400776-9	ALEPH
1400780-0	ALEPH
1402080-4	ALEPH
1404176-5	ALEPH
1404792-5	ALEPH
1409031-4	ALEPH
1409970-6	ALEPH
1410727-2	ALEPH
1411403-3	ALEPH
1411839-7	ALEPH
1414714-2	ALEPH
1420571-3	ALEPH
1420707-2	ALEPH
1420748-5	ALEPH
1421019-8	ALEPH
1421043-5	ALEPH
1421426-X	ALEPH
1422151-2	ALEPH
1426487-0	ALEPH
1426914-4	ALEPH
1427537-5	ALEPH
142996-6	ALEPH
1430725-X	ALEPH
1431309-1	ALEPH
1431667-5	ALEPH
1433490-2	ALEPH
1434368-X	ALEPH
1436099-8	ALEPH
1438907-1	ALEPH
1439261-6	ALEPH
1440554-4	ALEPH
1440914-8	ALEPH
1442606-7	ALEPH
1442932-9	ALEPH
144489-X	ALEPH
144495-5	ALEPH
1444992-4	ALEPH
145007-4	ALEPH
1450729-8	ALEPH
1451745-0	ALEPH
1451785-1	ALEPH
1452224-X	ALEPH
1453610-9	ALEPH
1454110-5	ALEPH
1458365-3	ALEPH
1458368-9	ALEPH
1458373-2	ALEPH
1458565-0	ALEPH
145965-X	ALEPH
1461638-5	ALEPH
1465915-3	ALEPH
1466169-X	ALEPH
1467502-X	ALEPH
146879-0	ALEPH
1470126-1	ALEPH
1470352-X	ALEPH
1471347-0	ALEPH
1474774-1	ALEPH
1474778-9	ALEPH
147877-1	ALEPH
1480660-5	ALEPH
1480898-5	ALEPH
1483942-8	ALEPH
1484022-4	ALEPH
1484551-9	ALEPH
1487984-0	ALEPH
1490482-2	ALEPH
1492747-0	ALEPH
1500097-7	ALEPH
15007-1	ALEPH
150343-1	ALEPH
153269-8	ALEPH
161257-8	ALEPH
161818-0	ALEPH
162591-3	ALEPH
162717-X	ALEPH
162718-1	ALEPH
163239-5	ALEPH
1678-0	ALEPH
183976-7	ALEPH
185506-2	ALEPH
186402-6	ALEPH
187510-3	ALEPH
187511-5	ALEPH
187730-6	ALEPH
188009-3	ALEPH
189094-3	ALEPH
189610-6	ALEPH
193099-0	ALEPH
194289-X	ALEPH
1954-9	ALEPH
199614-9	ALEPH
2000310-9	ALEPH
2000437-0	ALEPH
200048-9	ALEPH
200069-6	ALEPH
2001186-6	ALEPH
200165-2	ALEPH
200179-2	ALEPH
200180-9	ALEPH
2002245-1	ALEPH
200229-2	ALEPH
200230-9	ALEPH
2002653-5	ALEPH
2002654-7	ALEPH
200355-7	ALEPH
200359-4	ALEPH
200362-4	ALEPH
200371-5	ALEPH
200397-1	ALEPH
200400-8	ALEPH
200617-0	ALEPH
200652-2	ALEPH
2007110-3	ALEPH
200799-X	ALEPH
2009336-6	ALEPH
200958-4	ALEPH
2009725-6	ALEPH
200990-0	ALEPH
200991-2	ALEPH
201011-2	ALEPH
201051-3	ALEPH
201152-9	ALEPH
2011569-6	ALEPH
201157-8	ALEPH
201181-5	ALEPH
201207-8	ALEPH
2014169-5	ALEPH
201422-1	ALEPH
201423-3	ALEPH
2015164-0	ALEPH
201598-5	ALEPH
201599-7	ALEPH
201603-5	ALEPH
201632-1	ALEPH
201635-7	ALEPH
201636-9	ALEPH
202126-2	ALEPH
202137-7	ALEPH
2021757-2	ALEPH
202192-4	ALEPH
202211-4	ALEPH
2022745-0	ALEPH
202280-1	ALEPH
202300-3	ALEPH
2023877-0	ALEPH
202566-8	ALEPH
202579-6	ALEPH
2025793-4	ALEPH
202580-2	ALEPH
202594-2	ALEPH
2026424-0	ALEPH
2026680-7	ALEPH
202675-2	ALEPH
202676-4	ALEPH
202680-6	ALEPH
202700-8	ALEPH
202773-2	ALEPH
202801-3	ALEPH
202842-6	ALEPH
202862-1	ALEPH
202951-0	ALEPH
2029592-3	ALEPH
202964-9	ALEPH
203059-7	ALEPH
203062-7	ALEPH
2031723-2	ALEPH
203215-6	ALEPH
203285-5	ALEPH
203316-1	ALEPH
203319-7	ALEPH
203357-4	ALEPH
203465-7	ALEPH
203467-0	ALEPH
2035214-1	ALEPH
203645-9	ALEPH
2036665-6	ALEPH
2038730-1	ALEPH
203956-4	ALEPH
203990-4	ALEPH
204109-1	ALEPH
204116-9	ALEPH
204135-2	ALEPH
204144-3	ALEPH
204178-9	ALEPH
204188-1	ALEPH
204191-1	ALEPH
204196-0	ALEPH
204237-X	ALEPH
2042766-9	ALEPH
204304-X	ALEPH
204346-4	ALEPH
2043512-5	ALEPH
204503-5	ALEPH
2045813-7	ALEPH
204654-4	ALEPH
2046852-0	ALEPH
204737-8	ALEPH
204738-X	ALEPH
204767-6	ALEPH
204770-6	ALEPH
2050534-6	ALEPH
205090-0	ALEPH
2053469-3	ALEPH
2053480-2	ALEPH
2053485-1	ALEPH
2053492-9	ALEPH
205363-9	ALEPH
2054077-2	ALEPH
205463-2	ALEPH
205464-4	ALEPH
205465-6	ALEPH
205752-9	ALEPH
205824-8	ALEPH
205881-9	ALEPH
2059020-9	ALEPH
2059036-2	ALEPH
205978-2	ALEPH
206055-3	ALEPH
206059-0	ALEPH
206076-0	ALEPH
206153-3	ALEPH
2061530-9	ALEPH
206169-7	ALEPH
206170-3	ALEPH
206172-7	ALEPH
206174-0	ALEPH
206176-4	ALEPH
206177-6	ALEPH
206178-8	ALEPH
206179-X	ALEPH
2062423-2	ALEPH
206310-4	ALEPH
206465-0	ALEPH
206466-2	ALEPH
206556-3	ALEPH
2065693-2	ALEPH
2069078-2	ALEPH
206954-4	ALEPH
206955-6	ALEPH
207046-7	ALEPH
207117-4	ALEPH
207118-6	ALEPH
207207-5	ALEPH
2072603-X	ALEPH
207268-3	ALEPH
2073-4	ALEPH
207311-0	ALEPH
207312-2	ALEPH
207313-4	ALEPH
207404-7	ALEPH
2074626-X	ALEPH
2074631-3	ALEPH
207527-1	ALEPH
207634-2	ALEPH
2077-1	ALEPH
207740-1	ALEPH
2078346-2	ALEPH
207838-7	ALEPH
207840-5	ALEPH
207842-9	ALEPH
207851-X	ALEPH
207853-3	ALEPH
207857-0	ALEPH
207858-2	ALEPH
207873-9	ALEPH
208022-9	ALEPH
208043-6	ALEPH
208152-0	ALEPH
208154-4	ALEPH
208155-6	ALEPH
208161-1	ALEPH
208162-3	ALEPH
208163-5	ALEPH
208173-8	ALEPH
2082461-0	ALEPH
208263-9	ALEPH
208278-0	ALEPH
2082949-8	ALEPH
208342-5	ALEPH
208343-7	ALEPH
208352-8	ALEPH
208353-X	ALEPH
208356-5	ALEPH
2083644-2	ALEPH
2085087-6	ALEPH
2086788-8	ALEPH
2088811-9	ALEPH
208949-X	ALEPH
2089520-3	ALEPH
208957-9	ALEPH
209369-8	ALEPH
209379-0	ALEPH
209393-5	ALEPH
209408-3	ALEPH
209413-7	ALEPH
2094753-7	ALEPH
2094930-3	ALEPH
2095607-1	ALEPH
209642-0	ALEPH
209823-4	ALEPH
